"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APOBEC3B-AS1",34.8465457803439,0.65582416294058,0.137049313914621,4.78531518478923,1.70719214893618e-06,0.00428960480622697
"MIR6723",24.5560994567964,-2.17160962565992,0.445460232720543,-4.8749797763031,1.08819602734051e-06,0.00428960480622697
"NCAPH2",360.76089589901,0.48269320929796,0.100858269104749,4.78585656468728,1.70259622707443e-06,0.00428960480622697
"ARIH2OS",42.5261612805173,0.350383872385221,0.0755556066932379,4.63743046638232,3.5276722785369e-06,0.00549701614197532
"BAD",12.1531344865685,0.571299074259044,0.1233749327582,4.63059279131458,3.64620333110594e-06,0.00549701614197532
"MTRNR2L8",29.6808379717739,-0.927472505879355,0.204262878909999,-4.54058275702661,5.60989533908372e-06,0.00675439826466247
"RARA-AS1",56.4311478984978,0.466689403062241,0.103318546193998,4.51699545003229,6.27232526567224e-06,0.00675439826466247
"IFIT5",4.1403562605915,0.803336131104858,0.180758335200104,4.44425497842489,8.81969570609124e-06,0.0073869851369462
"RPPH1",156.874428656085,1.75499082302597,0.394235799531539,4.45162723707836,8.52220118168982e-06,0.0073869851369462
"ISG20",2.60245630626804,1.12758036434131,0.257091847531942,4.38590478525855,1.15504641993584e-05,0.00870673991347634
"APOL6",9.51830856663321,0.950645898463392,0.218789370387706,4.34502780815539,1.39258020748494e-05,0.00954297236729229
"JUNB",30.8195011715117,0.778010437854489,0.18035078980121,4.31387319518835,1.60418981084269e-05,0.0100769856617768
"ADPGK-AS1",119.068670279453,0.359063299477802,0.0848528627564789,4.23159912127286,2.32035696742256e-05,0.0104211408890784
"HIF1A-AS1",108.886978941865,0.328838167578906,0.0777630000309424,4.22872275308384,2.35021749952683e-05,0.0104211408890784
"MTRNR2L2",5.5057796660625,-2.42645264358016,0.572060948010871,-4.2415981234469,2.21933822393916e-05,0.0104211408890784
"PPP1R15A",7.15749139991901,1.10080955975718,0.257030326296015,4.28280030462014,1.8455579640626e-05,0.0104211408890784
"TGFB1",16.5541700526955,1.00859926583763,0.237855218204016,4.24039158549179,2.23130185770848e-05,0.0104211408890784
"DLG4",56.5619151153027,0.498558506753296,0.119373738039124,4.17645049022338,2.96093151205516e-05,0.011840238256068
"JUN",10.4940034109057,1.25324813460418,0.300204145552476,4.17465299254207,2.9844060342968e-05,0.011840238256068
"KLF13",12.4145760432501,0.915483988092064,0.221136752786267,4.13989975233515,3.47457627004562e-05,0.0130956779618019
